1,"Lee, J.S., Chen, Y. C., Chew, C. J., Hong, W. Z., Fan, Y.Y., Li, B.","Constructing Gene Features for Robust 3D Mesh Zero-watermarking,","Journal of Information Security and Applications,vol. 73",2023-03., (SCIE),
1,"Lee, J.S., Chen, Y. C., Hsieh, Y.H., Chang, S.H., and Huynh, N .T.","Preserving friendly stacking and weighted shadows in selective scalable secret image sharing,","Accepted byMultimedia Tools and Applications,000",2023-02. ,(SCIE),
1,"Wu, W.C., Chew, C. J., Chen, Y. C., Wu, C.H., Chen, T.H., and Lee, J.S*.","Blockchain-based WDP Solution for Real-time Heterogeneous Computing Resource Allocation,","IEEE Transactions on Network and Service Management,vol. 19,no. 4,pp. 3810-3821",2022-12. ,(SCIE),
1,"Lee, J.S., Chen, Y. C., Chew, C. J., Chen, C.L., Huynh, T.N., and Kuo, C.W.*","CoNN-IDS: Intrusion Detection System based on Collaborative Neural Networks and Agile Training,","Computers & Security,vol. 122,pp. 1-13",2022-11. ,(SCIE),
1,"Lee, J.S., Fan, Y.Y., Lee, H.Y., Yong, G.W., and Chen, Y. C.,","Image dehazing technique based on sky weight detection and fusion transmission,","Journal of Internet Technology,vol. 23,no. 5,pp. 967-980",2022-09. ,(SCIE),
1,"Lee, J.S., Chew, C.J. , Liu, J.Y., Chen, Y.C., and Tsai, K.Y.,","Medical Blockchain: Data Sharing and Privacy Preserving of EHR based on Smart Contract,","Journal of Information Security and Applications,vol. 65,pp. 1-14",2022-03. ,(SCIE),
1,"Chew, C. J., Chen, Y. C, Lee, J.S.*, Chen, C. L., and Tsai, K. Y.,","Preserving Indomitable DDoS Vitality through Resurrection Social Hybrid Botnet,","Computers & Security,vol. 106",2021-07. ,(SCIE),
1,"Cheng, T.F., Chen, Y.C., Song Z.D., Tu, H. N., and Lee, J.S*.,,","Secure Session between an IoT Device and a Cloud Server based on Elliptic Curve Cryptosystem,","International Journal of Information and Computer Security,vol. pp. 67-87",2021-05. ,(EI),
1,"Lee, J.S., Liu, C., Chen, Y. C., Hong, W. Z., and Li, B.,","Robust 3D Mesh Zero-watermarking based on Spherical Coordinate and Skewness Measurement,","Multimedia Tools and Applications,vol. 80,pp. 25757–25772",2021-04. ,(SCIE),
1,"Hong, W.C. Yang, R. K., Chen, Y. C, Li, B., and Lee, J.S.,","Efficient Peer-to-Peer E-Payment based on Asynchronous Dual Blockchain,","Journal of Internet Technology,vol.21,no. 5,1375-1385",2020-10. ,(SCIE),
1,"Lee, J.S., Chew, C. J., Chen, Y. C, and Wei, K. J.,","Preserving Liberty and Fairness in Combinatorial Double Auction Games based on Blockchain,","IEEE Systems Journal,vol. 14,pp. 1-11",2020-10. ,(SCIE),
1,"Hong, W.C. Huang, D. Y., Chen, C. L, and Lee, J.S.,","Towards Accurate and Efficient Classification of Power System Contingencies and Cyber-Attacks Using Recurrent Neural Networks,","IEEE Access,DOI: 10.1109/ACCESS.2020.3007609",2020-07. ,(SCIE),
